"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"21世纪福克斯公司","FOXA","45.84","46.17","45.52","+0.17","+0.37%","6.59M","03:59:59"
"Adobe","ADBE","269.91","272.42","269.25","+1.44","+0.54%","1.74M","03:59:59"
"Alphabet C","GOOG","1,194.64","1,202.10","1,183.63","+14.15","+1.20%","1.26M","03:59:59"
"Booking","BKNG","1,969.34","1,989.79","1,965.98","+1.83","+0.09%","345.79K","03:59:59"
"Check Point Software","CHKP","118.11","118.70","117.63","-0.35","-0.30%","944.67K","03:59:59"
"CSX运输","CSX","74.21","74.89","73.27","+0.31","+0.42%","2.78M","03:59:59"
"eBay","EBAY","33.34","33.75","33.15","-0.24","-0.71%","7.37M","03:59:59"
"Expedia Group, Inc.","EXPE","131.50","132.96","131.22","-0.14","-0.11%","1.10M","03:59:59"
"Facebook","FB","168.84","171.77","167.21","+1.89","+1.13%","27.27M","03:59:59"
"IDEXX实验室","IDXX","248.68","249.83","244.28","+4.29","+1.76%","411.21K","03:59:59"
"Illumina","ILMN","366.98","368.00","362.53","+5.53","+1.53%","598.76K","03:59:59"
"JB Hunt运输服务","JBHT","118.45","121.12","117.35","-2.64","-2.18%","1.43M","03:59:59"
"Lam Research","LRCX","150.57","151.74","148.54","+1.76","+1.18%","2.24M","03:59:59"
"MercadoLibre, Inc.","MELI","340.08","346.10","325.09","+9.33","+2.82%","1.02M","03:59:59"
"Monster Beverage","MNST","58.32","59.13","58.11","+0.01","+0.02%","2.56M","03:59:59"
"PayPal","PYPL","88.99","90.70","88.86","-0.86","-0.96%","7.00M","03:59:59"
"Qurate Retail, Inc.","QRTEA","22.09","22.20","21.55","+0.19","+0.87%","2.53M","03:59:59"
"Seagate","STX","46.57","47.75","46.25","-0.50","-1.06%","3.59M","03:59:59"
"Sirius XM","SIRI","6.360","6.410","6.320","-0.020","-0.31%","28.77M","03:59:59"
"T-Mobile US, Inc.","TMUS","70.49","70.63","68.87","+1.70","+2.47%","3.66M","03:59:59"
"Take-Two Interactive Software, Inc.","TTWO","137.07","137.61","134.66","+2.54","+1.89%","1.29M","03:59:59"
"The Kraft Heinz Co.","KHC","55.04","55.78","54.32","-0.13","-0.24%","7.88M","03:59:59"
"Twenty-First Century Fox, Inc.","FOX","45.49","45.77","45.14","+0.23","+0.51%","4.51M","03:59:59"
"Ulta美容产品公司","ULTA","279.28","281.06","276.69","+0.95","+0.34%","685.83K","03:59:59"
"Verisk Analytics, Inc.","VRSK","120.80","121.37","119.91","+0.12","+0.10%","547.17K","03:59:59"
"Vertex","VRTX","189.74","190.00","187.50","+3.09","+1.66%","1.38M","03:59:59"
"Walgreens Boots","WBA","73.81","74.57","72.51","+0.85","+1.17%","4.11M","03:59:59"
"万豪国际","MAR","133.42","133.50","130.34","+2.44","+1.86%","1.94M","03:59:59"
"上巨实业医疗","HOLX","40.75","41.15","40.58","-0.30","-0.73%","1.22M","03:59:59"
"亚力兄制药","ALXN","138.27","138.87","135.10","+2.66","+1.96%","1.76M","03:59:59"
"亚德诺半导体","ADI","92.18","92.54","91.61","-0.14","-0.15%","1.96M","03:59:59"
"亚马逊公司","AMZN","2,012.98","2,016.16","1,988.58","+38.13","+1.93%","4.33M","03:59:59"
