"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"21世纪福克斯公司","FOXA","45.84","46.17","45.52","+0.17","+0.37%","6.59M","03:59:59"
"A.O.史密斯","AOS","54.10","55.22","53.99","-0.91","-1.65%","2.20M","03:59:59"
"Acuity Brands, Inc.","AYI","158.54","160.07","157.16","-0.87","-0.55%","471.19K","03:59:59"
"Adobe","ADBE","269.91","272.42","269.25","+1.44","+0.54%","1.74M","03:59:59"
"Advance Auto Parts, Inc.","AAP","169.79","170.92","169.17","+0.46","+0.27%","739.72K","03:59:59"
"Allegion Plc","ALLE","89.99","90.49","89.13","+0.46","+0.51%","479.24K","03:59:59"
"Alphabet C","GOOG","1,194.64","1,202.10","1,183.63","+14.15","+1.20%","1.26M","03:59:59"
"Andeavor","ANDV","154.79","159.30","154.28","-2.31","-1.47%","5.12M","03:59:59"
"Anthem, Inc.","ANTM","271.64","273.22","269.65","+2.18","+0.81%","916.89K","03:59:59"
"Aptiv Plc","APTV","84.14","84.98","83.87","-0.54","-0.64%","1.17M","03:59:59"
"Arconic, Inc.","ARNC","21.92","22.00","21.51","+0.38","+1.76%","2.17M","03:59:59"
"Baker Hughes, a GE Co.","BHGE","33.83","34.37","33.22","+0.01","+0.03%","4.86M","03:59:59"
"BB&T银行","BBT","48.90","49.75","48.86","-0.85","-1.71%","3.25M","03:59:59"
"Booking","BKNG","1,969.34","1,989.79","1,965.98","+1.83","+0.09%","345.79K","03:59:59"
"Brighthouse Financial, Inc.","BHF","44.18","44.71","43.41","+0.11","+0.25%","715.28K","03:59:59"
"Brookfield Property A","BPR","20.65","20.82","20.39","+0.20","+0.98%","1.20M","03:59:59"
"Carnival","CCL","63.74","64.04","61.14","-3.24","-4.84%","14.34M","03:59:59"
"Cboe Global","CBOE","97.76","99.00","97.22","-1.11","-1.12%","882.24K","03:59:59"
"CBRE Group, Inc.","CBRE","44.200","44.520","44.110","-0.130","-0.29%","1.04M","03:59:59"
"Centene Corp.","CNC","143.22","143.92","141.58","+1.64","+1.16%","871.95K","03:59:59"
"CF实业","CF","53.77","55.47","53.48","-1.11","-2.02%","2.81M","03:59:59"
"Chubb","CB","133.37","134.35","133.21","-0.43","-0.32%","1.24M","03:59:59"
"Cimarex Energy Co.","XEC","93.97","94.74","92.67","+0.85","+0.91%","1.55M","03:59:59"
"Citizens Financial Group, Inc. (Rhode Island)","CFG","38.93","39.52","38.84","-0.48","-1.22%","3.58M","03:59:59"
"CMS能源","CMS","48.32","48.63","47.79","+0.57","+1.19%","1.36M","03:59:59"
"Constellation Brands A","STZ","214.94","216.38","213.50","+1.18","+0.55%","1.13M","03:59:59"
"CSX运输","CSX","74.21","74.89","73.27","+0.31","+0.42%","2.78M","03:59:59"
"CVS健保公司","CVS","78.76","79.43","78.35","+0.33","+0.42%","8.95M","03:59:59"
"DISH Network Corp.","DISH","35.48","35.99","35.10","-0.11","-0.31%","1.63M","03:59:59"
"DTE能源公司","DTE","107.41","107.99","106.41","+0.92","+0.86%","729.25K","03:59:59"
"DXC Technology Co.","DXC","93.73","94.63","93.58","-0.51","-0.54%","807.48K","03:59:59"
"eBay","EBAY","33.34","33.75","33.15","-0.24","-0.71%","7.37M","03:59:59"
"Envision Healthcare Corp.","EVHC","45.70","45.71","45.62","+0.05","+0.11%","1.41M","03:59:59"
"EQT能源 公平能源","EQT","44.71","45.34","44.24","+0.27","+0.61%","2.95M","03:59:59"
"Eversource Energy","ES","60.56","61.00","60.23","+0.36","+0.60%","1.07M","03:59:59"
"Expedia Group, Inc.","EXPE","131.50","132.96","131.22","-0.14","-0.11%","1.10M","03:59:59"
"Extra Space Storage, Inc.","EXR","85.53","87.01","85.33","-0.90","-1.04%","747.93K","03:59:59"
"F5网络公司","FFIV","196.74","198.30","195.40","+1.34","+0.69%","495.47K","03:59:59"
"Facebook","FB","168.84","171.77","167.21","+1.89","+1.13%","27.27M","03:59:59"
"FMC公司","FMC","87.70","89.39","87.63","-1.10","-1.24%","875.51K","03:59:59"
"FMC能源设备公司","FTI","31.27","31.90","31.26","-0.95","-2.95%","3.60M","03:59:59"
"Fortive Corp.","FTV","84.64","85.51","84.40","-0.39","-0.46%","3.84M","03:59:59"
"Fortune Brands Home & Security, Inc.","FBHS","53.21","53.57","52.78","-0.14","-0.26%","1.78M","03:59:59"
"FRT信托","FRT","124.21","125.69","124.06","-0.06","-0.05%","273.70K","03:59:59"
"H & R布洛克税务公司","HRB","25.97","26.05","25.66","+0.18","+0.70%","1.56M","03:59:59"
"HCA控股","HCA","138.33","138.96","136.57","+1.70","+1.24%","2.43M","03:59:59"
